event,eventLabel,year,countryLabel
http://www.wikidata.org/entity/Q16871984,Toluid Civil War,1260,Mongol Empire
http://www.wikidata.org/entity/Q1205962,Castilian Civil War,1351,Crown of Castile
http://www.wikidata.org/entity/Q11538828,Q11538828,1199,Japan
http://www.wikidata.org/entity/Q5887915,Civil Wars between the conquerors of Peru,1537,Spanish Empire
http://www.wikidata.org/entity/Q108582422,Hungarian Civil War,1264,Kingdom of Hungary (1000–1301)
http://www.wikidata.org/entity/Q51930478,Jerusalemite Civil War,1152,Kingdom of Jerusalem
http://www.wikidata.org/entity/Q19692559,Civil War in Rus of 1195-1196,1195,Kievan Rus'
http://www.wikidata.org/entity/Q106839672,Danish Civil Wars,1131,Denmark
http://www.wikidata.org/entity/Q2658255,Byzantine Civil War of 1341–1347,1341,Byzantine Empire
http://www.wikidata.org/entity/Q11924838,War of the Union,1347,Crown of Aragon
http://www.wikidata.org/entity/Q6364172,Kannō disturbance,1350,Japan
http://www.wikidata.org/entity/Q60826347,Georgian Civil War,1462,Kingdom of Georgia
http://www.wikidata.org/entity/Q56318696,Castilian Civil War,1437,Crown of Castile
http://www.wikidata.org/entity/Q11576921,Q11576921,1395,Japan
http://www.wikidata.org/entity/Q1372308,Jōkyū War,1221,Japan
http://www.wikidata.org/entity/Q1432624,Genkō War,1331,Japan
http://www.wikidata.org/entity/Q2086498,First Barons' War,1215,Kingdom of England
http://www.wikidata.org/entity/Q16418251,Safavid Civil War,1524,Safavid Iran
http://www.wikidata.org/entity/Q20105067,War of the Infantes of Aragon,1429,Crown of Castile
http://www.wikidata.org/entity/Q24957937,Q24957937,1459,Dai Viet
http://www.wikidata.org/entity/Q12504843,Regreg War,1404,Majapahit
http://www.wikidata.org/entity/Q842357,Hōgen rebellion,1156,Japan
http://www.wikidata.org/entity/Q16675407,Kievan Rus' Civil War of 1097–1100,1097,Kievan Rus'
http://www.wikidata.org/entity/Q16675405,Kievan Rus' Civil War of 1094–1097,1094,Kievan Rus'
http://www.wikidata.org/entity/Q944859,Heiji rebellion,1160,Japan
http://www.wikidata.org/entity/Q11872032,Koadjutore war,1556,Livonian confederation
http://www.wikidata.org/entity/Q1021160,Armagnac–Burgundian Civil War,1407,France
http://www.wikidata.org/entity/Q6762017,Marian civil war,1568,Kingdom of Scotland
http://www.wikidata.org/entity/Q127751,Wars of the Roses,1455,Kingdom of England
http://www.wikidata.org/entity/Q124428025,Civil War in Poland,1077,Kingdom of Poland
http://www.wikidata.org/entity/Q569485,Knights' War,1522,Holy Roman Empire
http://www.wikidata.org/entity/Q7109927,Ottoman Civil War of 1509–13,1509,Ottoman Empire
http://www.wikidata.org/entity/Q4288100,Civil War in Rus' of 1146-1154,1146,Rus
http://www.wikidata.org/entity/Q25501554,War for the Croatian-Hungarian crown in 1440,1440,Kingdom of Hungary
http://www.wikidata.org/entity/Q4288101,Civil War in Rus' of 1158-1161,1158,Kievan Rus'
http://www.wikidata.org/entity/Q1584610,Navarrese Civil War,1451,Spain
http://www.wikidata.org/entity/Q10711982,Vadstena Rumble,1559,Sweden
http://www.wikidata.org/entity/Q3104848,Fitna of al-Andalus,1009,Caliphate of Córdoba
http://www.wikidata.org/entity/Q4288097,Muscovite Civil War,1425,Grand Principality of Moscow
http://www.wikidata.org/entity/Q2669939,Lithuanian Civil War of 1432–1438,1432,Grand Duchy of Lithuania
http://www.wikidata.org/entity/Q4288099,Civil War in Northeast Russia from 1281 to 1293,1281,North-Eastern Rus'
http://www.wikidata.org/entity/Q4288098,"Internecine War in North-Eastern Rus', 1212-1216",1212,North-Eastern Rus'
http://www.wikidata.org/entity/Q4288096,"Internecine War in North-Eastern Rus', 1174-1177",1174,North-Eastern Rus'
http://www.wikidata.org/entity/Q28667604,Internecine War in the Principality of Chernihiv,1226,Principality of Chernigov
http://www.wikidata.org/entity/Q164432,Eighty Years' War,1568,Seventeen Provinces
http://www.wikidata.org/entity/Q15729012,Ribagorza War,1581,Crown of Aragon
http://www.wikidata.org/entity/Q12038667,Moravian Margrave Wars,1381,Margraviate of Moravia
http://www.wikidata.org/entity/Q2568602,First Utrecht Civil War,1456,Netherlands
http://www.wikidata.org/entity/Q737542,Genpei War,1180,Japan
http://www.wikidata.org/entity/Q123171353,Castilian Civil War,1296,Crown of Castile
http://www.wikidata.org/entity/Q309184,Boshin War,1868,Tokugawa shogunate
http://www.wikidata.org/entity/Q77457310,War of the Generals,1911,Ecuador
http://www.wikidata.org/entity/Q957532,Third Carlist War,1872,Spain
http://www.wikidata.org/entity/Q55633506,Soninke-Marabout War,1850,Kombo
http://www.wikidata.org/entity/Q5887712,Federal Revolution of 1899,1898,Bolivia
http://www.wikidata.org/entity/Q2350166,War of Canudos,1893,
http://www.wikidata.org/entity/Q5887718,Peruvian Civil War of 1856-1858,1856,Peru
http://www.wikidata.org/entity/Q5887721,Peruvian Civil War of 1894–1895,1894,Peru
http://www.wikidata.org/entity/Q881762,Samoan Civil War,1886,
http://www.wikidata.org/entity/Q134586693,Carthusians' million affair,1903,France
http://www.wikidata.org/entity/Q1100707,Cleveland Street scandal,1889,United Kingdom
http://www.wikidata.org/entity/Q1822896,Liberal Revolution of Ecuador,1895,Ecuador
http://www.wikidata.org/entity/Q764038,Jungle Movement of Gilan,1915,Qajar Iran
http://www.wikidata.org/entity/Q638903,5 October 1910 revolution,1910,Portugal
http://www.wikidata.org/entity/Q211855,Finnish Civil War,1918,Finland
http://www.wikidata.org/entity/Q107309163,Coup d'état in Colombia of 1867,1867,United States of Colombia
http://www.wikidata.org/entity/Q2834353,Peruvian Civil War of 1884–1885,1884,Peru
http://www.wikidata.org/entity/Q1187198,Ten Tragic Days,1913,Mexico
http://www.wikidata.org/entity/Q24204921,Six Years' War,1868,Second Republic
http://www.wikidata.org/entity/Q211855,Finnish Civil War,1918,Russian Empire
http://www.wikidata.org/entity/Q2523337,Federalist Riograndense Revolution,1893,
http://www.wikidata.org/entity/Q97358280,Hafidiya,1907,Morocco
http://www.wikidata.org/entity/Q192408,Taiping Rebellion,1851,Qing dynasty
http://www.wikidata.org/entity/Q3772246,1860 civil conflict in Mount Lebanon and Damascus,1860,Ottoman Empire
http://www.wikidata.org/entity/Q2403418,May Coup,1903,Kingdom of Serbia
http://www.wikidata.org/entity/Q43378,Thousand Days' War,1899,Colombia
http://www.wikidata.org/entity/Q519546,Nauruan Civil War,1878,
http://www.wikidata.org/entity/Q214426,Mexican Revolution,1910,Mexico
http://www.wikidata.org/entity/Q23641794,Dominican Civil War of 1914,1914,Dominican Republic
http://www.wikidata.org/entity/Q16674517,Expulsion of Otto of Greece,1862,Kingdom of Greece
http://www.wikidata.org/entity/Q106194524,1900 Colombia coup d'état,1900,Colombia
http://www.wikidata.org/entity/Q17633455,Peruvian Civil War of 1865,1865,Peru
http://www.wikidata.org/entity/Q17633460,Peruvian Civil War of 1867,1867,Peru
http://www.wikidata.org/entity/Q2091916,Reform War,1857,Mexico
http://www.wikidata.org/entity/Q6177105,Jementah Civil War,1879,Malaysia
http://www.wikidata.org/entity/Q79911,Russian Civil War,1917,Soviet Union
http://www.wikidata.org/entity/Q65077988,1911 Paraguayan Civil War,1911,Paraguay
http://www.wikidata.org/entity/Q39080987,Ecuadorian Civil War of 1912–1914,1913,Ecuador
http://www.wikidata.org/entity/Q117406977,Q117406977,1854,Kara-Kyrgyz Khanate
