event,eventLabel,year,countryLabel
http://www.wikidata.org/entity/Q20824991,2015 Attock Suicide Attack,2015,Pakistan
http://www.wikidata.org/entity/Q109771420,"Prime Minister voting in Sweden, 24 November 2021",2021,Sweden
http://www.wikidata.org/entity/Q136009028,Assassination of Andriy Parubiy,2025,Ukraine
http://www.wikidata.org/entity/Q130374882,2024 Hezbollah headquarters strike,2024,Lebanon
http://www.wikidata.org/entity/Q6058199,assassination of Çetin Emeç,1990,Turkey
http://www.wikidata.org/entity/Q107487842,killing of Peter R. de Vries,2021,Netherlands
http://www.wikidata.org/entity/Q3423445,assassination of Rajiv Gandhi,1991,India
http://www.wikidata.org/entity/Q136001786,August 2025 Israeli attack on Sanaa,2025,Yemen
http://www.wikidata.org/entity/Q4118404,assassination of Mahmoud Al-Mabhouh,2010,United Arab Emirates
http://www.wikidata.org/entity/Q111968653,killing of Shireen Abu Akleh,2022,Palestine
http://www.wikidata.org/entity/Q130379735,Night Time Operation,1992,Lebanon
http://www.wikidata.org/entity/Q136984182,Q136984182,2025,France
http://www.wikidata.org/entity/Q19362904,assassination of Boris Nemtsov,2015,Russia
http://www.wikidata.org/entity/Q131389544,killing of Brian Thompson,2024,United States
http://www.wikidata.org/entity/Q113166845,assassination of Tomiris Baisafa,2018,Russia
http://www.wikidata.org/entity/Q20688475,2015 Hong Kong electoral reform voting,2015,People's Republic of China
http://www.wikidata.org/entity/Q134734156,assassination of Miguel Uribe Turbay,2025,Colombia
http://www.wikidata.org/entity/Q134895058,2025 shootings of Minnesota legislators,2025,United States
http://www.wikidata.org/entity/Q109906670,Q109906670,2021,Sweden
http://www.wikidata.org/entity/Q4808525,assassination of Zelimkhan Yandarbiyev,2004,Qatar
http://www.wikidata.org/entity/Q104870191,assassination of Deryan Aktert,2016,Turkey
http://www.wikidata.org/entity/Q107442287,assassination of Jovenel Moïse,2021,Haiti
http://www.wikidata.org/entity/Q96372201,assassination de Jaime Guzmán,1991,Chile
http://www.wikidata.org/entity/Q113511370,ISTAT 2017 survey on museums and similar institutions,2017,Italy
http://www.wikidata.org/entity/Q2856363,assassination of Theo van Gogh,2004,Netherlands
http://www.wikidata.org/entity/Q112967003,assassination of Shinzō Abe,2022,Japan
