event,eventLabel,year,countryLabel
http://www.wikidata.org/entity/Q23361,Magdeburg hemispheres,1654,
http://www.wikidata.org/entity/Q3733130,Oersted's law,1818,
http://www.wikidata.org/entity/Q28225391,Moon radar experiment,1946,Hungary
http://www.wikidata.org/entity/Q137649300,Millikan cosmic ray experiment at Muir Lake (1925),1925,
http://www.wikidata.org/entity/Q95388989,Kitap radiosi,2019,Russia
http://www.wikidata.org/entity/Q109311557,Q109311557,1958,Argentina
http://www.wikidata.org/entity/Q102253563,decoupling of median wages from productivity,2000,
http://www.wikidata.org/entity/Q5011260,CHOOZ,1999,
http://www.wikidata.org/entity/Q123376497,Pictet's experiment,1790,
http://www.wikidata.org/entity/Q951383,The Portuguese discovery of the sea route to India,1498,India
http://www.wikidata.org/entity/Q951383,The Portuguese discovery of the sea route to India,1498,Portugal
http://www.wikidata.org/entity/Q116681951,Satellite Orbital Debris Characterization Impact Test,1992,
http://www.wikidata.org/entity/Q1281398,Gustav III of Sweden's coffee experiment,1700,
http://www.wikidata.org/entity/Q3124829,HERMES experiment,1995,Germany
http://www.wikidata.org/entity/Q56703616,NASA's TESS spacecraft reports its first exoplanet,2018,
http://www.wikidata.org/entity/Q90297029,2020 toilet paper shortage,2020,
http://www.wikidata.org/entity/Q3042917,discovery of Brazil,1500,France
http://www.wikidata.org/entity/Q1303351,Wu experiment,1956,
http://www.wikidata.org/entity/Q72067697,2019 Grays incident,2019,United Kingdom
http://www.wikidata.org/entity/Q221474,first arrival of Christopher Columbus to America,1492,
http://www.wikidata.org/entity/Q109713976,"Yes, Really",2010,
http://www.wikidata.org/entity/Q110894549,fusion experiment on 21 December 2021,2021,
http://www.wikidata.org/entity/Q104849391,CardUP,2020,
http://www.wikidata.org/entity/Q1590641,Rüchardt experiment,1929,
http://www.wikidata.org/entity/Q134513300,Discovery of Christians,1865,
http://www.wikidata.org/entity/Q66747128,Columbus explores Rum Cay Bahamas,1492,
http://www.wikidata.org/entity/Q66747509,Columbus explores Crooked Island,1492,
http://www.wikidata.org/entity/Q5407507,Q5407507,1992,Finland
http://www.wikidata.org/entity/Q4170280,exhumation of Richard III of England,2012,United Kingdom
http://www.wikidata.org/entity/Q1616753,Brocken Experiment,1932,
http://www.wikidata.org/entity/Q131456418,fusion experiment on 3 October 2023,2023,
http://www.wikidata.org/entity/Q3393969,Pokémania,2016,
http://www.wikidata.org/entity/Q4624917,2012 Boeing 727 crash experiment,2012,Mexico
http://www.wikidata.org/entity/Q124377954,Hawking's time traveller party,2009,
http://www.wikidata.org/entity/Q11401339,Human Bones Incident in Hokkaido University,1995,Japan
http://www.wikidata.org/entity/Q4327279,2009 Norwegian spiral anomaly,2009,Sweden
http://www.wikidata.org/entity/Q4327279,2009 Norwegian spiral anomaly,2009,Norway
http://www.wikidata.org/entity/Q5518616,Galileo's Leaning Tower of Pisa experiment,1589,Grand Duchy of Tuscany
http://www.wikidata.org/entity/Q54974569,Bruno Rossi and David B. Hall experiment,1940,
http://www.wikidata.org/entity/Q21002732,discovery of Uranus,1781,
http://www.wikidata.org/entity/Q3512287,Q3512287,1997,
http://www.wikidata.org/entity/Q15107514,Q15107514,2010,Germany
http://www.wikidata.org/entity/Q3733125,Q3733125,1820,
http://www.wikidata.org/entity/Q1385044,Goldhaber experiment,1957,
http://www.wikidata.org/entity/Q65041294,Eddington experiment,1919,
http://www.wikidata.org/entity/Q1405344,first superstring revolution,1984,
http://www.wikidata.org/entity/Q1233032,EisenEx,2009,
http://www.wikidata.org/entity/Q1356165,discovery of Neptune,1846,United Kingdom
