event,eventLabel,year,countryLabel
http://www.wikidata.org/entity/Q104844761,New York African Society for Mutual Relief,1808,United States
http://www.wikidata.org/entity/Q105755174,Robert Gilmor & Co.,1784,United States
http://www.wikidata.org/entity/Q105755315,Robert Gilmor & Sons,1799,United States
http://www.wikidata.org/entity/Q61415660,Q61415660,1819,Russian Empire
http://www.wikidata.org/entity/Q61961884,ordre des avocats aux conseils,1817,France
http://www.wikidata.org/entity/Q104815750,Q104815750,1720,Russian Empire
http://www.wikidata.org/entity/Q61692434,Crédit municipal de Lyon,1810,France
http://www.wikidata.org/entity/Q96358774,Cuerpo de Letrados de las Cortes Generales,1811,Spain
http://www.wikidata.org/entity/Q64223276,Saint-Denis Bar Association,1810,France
http://www.wikidata.org/entity/Q96145829,North Six-Mile Baptist Church,1818,United States
http://www.wikidata.org/entity/Q62024627,Fundatie van Renswoude,1754,Netherlands
http://www.wikidata.org/entity/Q65945070,Conseil général des fabriques et manufactures,1810,France
http://www.wikidata.org/entity/Q106268420,Pommersche Provinzial-Zuckersiederei,1817,Germany
http://www.wikidata.org/entity/Q70260472,Q70260472,1802,France
http://www.wikidata.org/entity/Q100968262,Q100968262,1737,Russia
http://www.wikidata.org/entity/Q65206550,Fundació Fiella,1700,Spain
http://www.wikidata.org/entity/Q106744070,Q106744070,1810,Czechoslovakia
http://www.wikidata.org/entity/Q106744070,Q106744070,1810,Kingdom of Bohemia
http://www.wikidata.org/entity/Q100742789,E. F. Ohle's Erben,1788,German Reich
http://www.wikidata.org/entity/Q92765095,Q92765095,1804,France
http://www.wikidata.org/entity/Q106268420,Pommersche Provinzial-Zuckersiederei,1817,German Reich
http://www.wikidata.org/entity/Q83827926,Q83827926,1816,Sweden
http://www.wikidata.org/entity/Q107130628,Annual Association for the Relief of Sick Children in the Summer,1818,United States
http://www.wikidata.org/entity/Q61483296,Q61483296,1802,Russian Empire
http://www.wikidata.org/entity/Q61483578,Q61483578,1806,Russian Empire
http://www.wikidata.org/entity/Q98240429,Q98240429,1801,Kingdom of Bavaria
http://www.wikidata.org/entity/Q61483986,Q61483986,1809,Russian Empire
http://www.wikidata.org/entity/Q107133564,Association of Friends for the Free Instruction of Adult Colored Persons,1789,United States
http://www.wikidata.org/entity/Q107133780,New York Female Association,1798,United States
http://www.wikidata.org/entity/Q107134200,Female Association of Philadelphia for the relief of Women and Children in Reduced Circumstances,1800,United States
http://www.wikidata.org/entity/Q101438708,Q101438708,1806,France
http://www.wikidata.org/entity/Q106036939,Q106036939,1751,Russian Empire
http://www.wikidata.org/entity/Q107135780,Female Society of Philadelphia for the relief and employment of the poor,1795,United States
http://www.wikidata.org/entity/Q95674632,Q95674632,1803,Kingdom of Bohemia
http://www.wikidata.org/entity/Q97391448,Česká společnost nauk,1784,Kingdom of Bohemia
http://www.wikidata.org/entity/Q65078310,Real Academia de Medicina y Cirugía de Murcia,1811,Spain
http://www.wikidata.org/entity/Q106298640,Society of Universal Friends,1776,United States
http://www.wikidata.org/entity/Q61929099,ordre des avocats de Lyon,1810,France
http://www.wikidata.org/entity/Q66715656,Q66715656,1778,Germany
http://www.wikidata.org/entity/Q105357564,Societé des antiquités de Casse,1777,Germany
http://www.wikidata.org/entity/Q105528223,Veitel Heine Ephraim'sche Lehranstalt,1770,Prussia
http://www.wikidata.org/entity/Q76656617,Q76656617,1805,Russian Empire
http://www.wikidata.org/entity/Q61936188,ordre des avocats de Douai,1811,France
http://www.wikidata.org/entity/Q61937647,ordre des avocats de Toulouse,1810,France
http://www.wikidata.org/entity/Q61937736,ordre des avocats de Nantes,1810,France
http://www.wikidata.org/entity/Q61937835,ordre des avocats de Grenoble,1810,France
http://www.wikidata.org/entity/Q66715656,Q66715656,1778,German Reich
http://www.wikidata.org/entity/Q106818514,Q106818514,1811,Belgium
http://www.wikidata.org/entity/Q86354110,Q86354110,1808,Belgium
http://www.wikidata.org/entity/Q97007177,Q97007177,1736,Russian Empire
http://www.wikidata.org/entity/Q645663,University of Pisa,1343,Italy
http://www.wikidata.org/entity/Q368643,University of Coimbra,1290,Portugal
http://www.wikidata.org/entity/Q913972,Order of Friars Minor,1201,Turkey
http://www.wikidata.org/entity/Q913972,Order of Friars Minor,1201,Spain
http://www.wikidata.org/entity/Q913972,Order of Friars Minor,1201,United States
http://www.wikidata.org/entity/Q913972,Order of Friars Minor,1201,Brazil
http://www.wikidata.org/entity/Q913972,Order of Friars Minor,1201,United Kingdom
http://www.wikidata.org/entity/Q913972,Order of Friars Minor,1201,Sweden
http://www.wikidata.org/entity/Q913972,Order of Friars Minor,1201,Lithuania
http://www.wikidata.org/entity/Q913972,Order of Friars Minor,1201,Switzerland
http://www.wikidata.org/entity/Q913972,Order of Friars Minor,1201,Japan
http://www.wikidata.org/entity/Q913972,Order of Friars Minor,1201,Belgium
http://www.wikidata.org/entity/Q913972,Order of Friars Minor,1201,France
http://www.wikidata.org/entity/Q913972,Order of Friars Minor,1201,Italy
http://www.wikidata.org/entity/Q913972,Order of Friars Minor,1201,Egypt
http://www.wikidata.org/entity/Q913972,Order of Friars Minor,1201,Mexico
http://www.wikidata.org/entity/Q913972,Order of Friars Minor,1201,Ireland
http://www.wikidata.org/entity/Q913972,Order of Friars Minor,1201,Canada
http://www.wikidata.org/entity/Q913972,Order of Friars Minor,1201,Netherlands
http://www.wikidata.org/entity/Q913972,Order of Friars Minor,1201,Austria
http://www.wikidata.org/entity/Q913972,Order of Friars Minor,1201,Poland
http://www.wikidata.org/entity/Q913972,Order of Friars Minor,1201,Russia
http://www.wikidata.org/entity/Q913972,Order of Friars Minor,1201,Portugal
http://www.wikidata.org/entity/Q913972,Order of Friars Minor,1201,Greece
http://www.wikidata.org/entity/Q913972,Order of Friars Minor,1201,Kenya
http://www.wikidata.org/entity/Q165005,Franciscans,1209,Italy
http://www.wikidata.org/entity/Q431122,Yeomen of the Guard,1485,United Kingdom
http://www.wikidata.org/entity/Q334099,Orval Abbey,1101,Belgium
http://www.wikidata.org/entity/Q131479,Dominican Order,1215,Italy
http://www.wikidata.org/entity/Q131479,Dominican Order,1216,Italy
http://www.wikidata.org/entity/Q209344,Sapienza University of Rome,1303,Italy
http://www.wikidata.org/entity/Q138213928,Q138213928,1361,Spain
http://www.wikidata.org/entity/Q426430,Mesta,1273,Spain
http://www.wikidata.org/entity/Q826021,Kenmu Restoration,1333,Japan
http://www.wikidata.org/entity/Q186285,University of Copenhagen,1479,Denmark
http://www.wikidata.org/entity/Q153978,University of Tübingen,1477,Germany
http://www.wikidata.org/entity/Q136772871,Étude notariale VIII (Paris ; 1465-....),1465,France
http://www.wikidata.org/entity/Q136772888,Étude notariale XIX (Paris ; 1465-....),1465,France
http://www.wikidata.org/entity/Q136772895,Étude notariale XLIX (Paris ; 1498-....),1498,France
http://www.wikidata.org/entity/Q136772897,Étude notariale XLVI (Paris ; 1498-....),1498,France
http://www.wikidata.org/entity/Q136772904,Étude notariale XX (Paris ; 1480-....),1480,France
http://www.wikidata.org/entity/Q136772917,Étude notariale XXXIII (Paris ; 1498-....),1498,France
http://www.wikidata.org/entity/Q31519,Charles University,1348,Czech Republic
http://www.wikidata.org/entity/Q692799,Conventual Franciscans,1201,Ireland
http://www.wikidata.org/entity/Q692799,Conventual Franciscans,1209,Ireland
http://www.wikidata.org/entity/Q450139,University Hospital Zurich,1201,Switzerland
http://www.wikidata.org/entity/Q137386232,Q137386232,1479,Belgium
http://www.wikidata.org/entity/Q615542,Pontifical Croatian College of St. Jerome,1453,Italy
