event,eventLabel,year,countryLabel
http://www.wikidata.org/entity/Q133977,Battle of Caravaggio,1448,Italy
http://www.wikidata.org/entity/Q251597,Battle of Dornach,1499,Switzerland
http://www.wikidata.org/entity/Q612288,Battle of Pločnik,1385,Serbia
http://www.wikidata.org/entity/Q402237,Battle of Zappolino,1325,Italy
http://www.wikidata.org/entity/Q620585,Battle of Mortimer's Cross,1461,Kingdom of England
http://www.wikidata.org/entity/Q265032,Battle of Montlhéry,1465,France
http://www.wikidata.org/entity/Q451404,Battle of St. Jakob an der Sihl,1443,Switzerland
http://www.wikidata.org/entity/Q166961,Battle of Shrewsbury,1403,Kingdom of England
http://www.wikidata.org/entity/Q425617,Battle of Verneuil,1424,France
http://www.wikidata.org/entity/Q648535,Battle of Patay,1429,France
http://www.wikidata.org/entity/Q615922,Battle of the Vozha River,1378,Russia
http://www.wikidata.org/entity/Q328768,Battle of Detern,1426,Germany
http://www.wikidata.org/entity/Q681702,Battle of Sörenberg,1380,Switzerland
http://www.wikidata.org/entity/Q153712,Battle of Parabiago,1339,Italy
http://www.wikidata.org/entity/Q667606,Battle of Laupen,1339,Switzerland
http://www.wikidata.org/entity/Q544936,Battle of Ferrybridge,1461,Kingdom of England
http://www.wikidata.org/entity/Q472614,Battle of Giornico,1478,Switzerland
http://www.wikidata.org/entity/Q222013,Battle of Bosworth Field,1485,Kingdom of England
http://www.wikidata.org/entity/Q634629,Battle of Towton,1461,Kingdom of England
http://www.wikidata.org/entity/Q661759,Battle of Sempach,1386,Switzerland
http://www.wikidata.org/entity/Q624937,Battle of Visby,1361,Sweden
http://www.wikidata.org/entity/Q210354,Battle of Kulikovo,1380,Grand Principality of Moscow
http://www.wikidata.org/entity/Q283015,Battle of Beaugency,1429,France
http://www.wikidata.org/entity/Q668577,Siege of Compiègne,1430,France
http://www.wikidata.org/entity/Q646532,Battle of Castagnaro,1387,Italy
http://www.wikidata.org/entity/Q616448,Battle of Champtoceaux,1341,France
http://www.wikidata.org/entity/Q532899,Battle of Molinella,1467,Italy
http://www.wikidata.org/entity/Q598069,Battle of Homildon Hill,1402,Kingdom of England
http://www.wikidata.org/entity/Q163959,Battle of Héricourt,1474,Kingdom of France
http://www.wikidata.org/entity/Q201692,Battle of Poitiers,1356,France
http://www.wikidata.org/entity/Q581401,Battle of Blore Heath,1459,Kingdom of England
http://www.wikidata.org/entity/Q209387,Battle of Ankara,1402,Turkey
http://www.wikidata.org/entity/Q233416,Second Battle of St Albans,1461,Kingdom of England
http://www.wikidata.org/entity/Q551549,Battle of Chojnice,1454,Poland
http://www.wikidata.org/entity/Q670094,Battle of Crevola,1487,Italy
http://www.wikidata.org/entity/Q179288,Battle of Kosovo,1389,Kosovo
http://www.wikidata.org/entity/Q647112,Battle of Koronowo,1410,Poland
http://www.wikidata.org/entity/Q114620,Battle of Minatogawa,1336,Japan
http://www.wikidata.org/entity/Q387238,Battle of Tlatelolco,1473,Mexico
http://www.wikidata.org/entity/Q188495,Battle of Agincourt,1415,Kingdom of France
http://www.wikidata.org/entity/Q516507,Reconquest of Gallipoli,1366,Turkey
http://www.wikidata.org/entity/Q212220,Battle of Nicopolis,1396,Second Bulgarian Empire
http://www.wikidata.org/entity/Q558503,Battle of Rudau,1370,Russia
http://www.wikidata.org/entity/Q74072,Battle of Albulena,1457,Albania
