id,label,year,country,tag,source_file
Q171150,Kingdom of Hungary,1000,Kingdom of Hungary,independence,independence_gap
Q145749,Kingdom of Nri,1000,,independence,independence_gap
Q174306,Republic of Genoa,1005,Italy,independence,independence_gap
Q154667,Kingdom of Georgia,1008,,independence,independence_gap
Q276841,Taifa of Badajoz,1009,,independence,independence_gap
Q252323,Taifa of Dénia,1010,Spain,independence,independence_gap
Q205708,Taifa of Granada,1013,Spain,independence,independence_gap
Q33061,Taifa of Zaragoza,1018,,independence,independence_gap
Q276951,Taifa of Seville,1023,,independence,independence_gap
Q267484,Taifa of Málaga,1026,Spain,independence,independence_gap
Q10922467,Tsongkha,1032,,independence,independence_gap
Q199442,Kingdom of Aragon,1035,Spain,independence,independence_gap
Q75613,Almoravid dynasty,1040,Algeria,independence,independence_gap
Q179293,Kingdom of Castile,1065,Spain,independence,independence_gap
Q250515,Eastern Ganga dynasty,1078,,independence,independence_gap
Q22880,Electoral Palatinate,1085,Electoral Palatinate,independence,independence_gap
Q170390,County of Oldenburg,1091,Holy Roman Empire,independence,independence_gap
Q11308294,Seljuk State of Syria,1092,,independence,independence_gap
Q152420,Duchy of Guelders,1096,Holy Roman Empire,independence,independence_gap
Q269109,Principality of Ryazan,1097,,independence,independence_gap
Q232806,County of Edessa,1098,,independence,independence_gap
Q235030,Principality of Antioch,1098,Principality of Antioch,independence,independence_gap
Q55502,Kingdom of Jerusalem,1099,Lebanon,independence,independence_gap
Q272033,County of Tripoli,1102,Kingdom of Jerusalem,independence,independence_gap
Q148540,Republic of Florence,1115,Republic of Florence,independence,independence_gap
Q199688,Almohad Caliphate,1121,,independence,independence_gap
Q107380,Lippe,1123,Germany,independence,independence_gap
Q83546,Grand Principality of Vladimir,1125,Grand Principality of Vladimir,independence,independence_gap
Q189545,Zengid dynasty,1127,,independence,independence_gap
Q188586,Kingdom of Sicily,1130,Kingdom of Sicily,independence,independence_gap
Q11026135,Principality of Salm,1135,,independence,independence_gap
Q151536,Novgorod Republic,1136,Novgorod Republic,independence,independence_gap
Q45670,Kingdom of Portugal,1139,Kingdom of Portugal,independence,independence_gap
