id,label,year,country,tag,source_file
Q8470314,Despoblat d'Esplugallonga,1100,Spain,exploration,exploration_gap2
Q5946979,Daruneh Cave,1200,Iran,exploration,exploration_gap2
Q2110676,Prinzenhöhle,1455,Germany,exploration,exploration_gap2
Q3117235,Grotta del Gelo,1614,Italy,exploration,exploration_gap2
Q21478835,Cova de Joncadella,1701,Spain,exploration,exploration_gap2
Q110747406,Gruta de la Fuente de las Ranas,1794,Spain,exploration,exploration_gap2
Q137754584,Cova d'en Garriga,1801,Spain,exploration,exploration_gap2
Q131466092,Cova del Bosc d'en Peret Borreguer,1801,Spain,exploration,exploration_gap2
Q133822802,Cova de Cal Simó,1801,Spain,exploration,exploration_gap2
Q133966350,Cova de sauló de la Font del Roure,1801,Spain,exploration,exploration_gap2
Q4946548,Borra Caves,1807,India,exploration,exploration_gap2
Q1049423,Castle Clinton,1808,United States,exploration,exploration_gap2
Q110747407,Gruta del Laberinto,1835,Spain,exploration,exploration_gap2
Q713124,Artis,1838,Netherlands,exploration,exploration_gap2
Q965731,California Academy of Sciences,1853,United States,exploration,exploration_gap2
Q3328425,Museu Paraense Emílio Goeldi,1866,Brazil,exploration,exploration_gap2
Q6970399,National Aquarium,1873,United States,exploration,exploration_gap2
Q67210584,Gruta da Quinta da Boa Vista,1876,Brazil,exploration,exploration_gap2
Q21478965,Santa Cova (la Nou de Berguedà),1880,Spain,exploration,exploration_gap2
Q106949873,Livingstone Cave,1880,Botswana,exploration,exploration_gap2
Q685710,Grotte aux Fées,1890,Switzerland,exploration,exploration_gap2
Q3034599,domain of the caves of Han,1895,Belgium,exploration,exploration_gap2
Q1060884,New York Aquarium,1896,United States,exploration,exploration_gap2
Q101499948,New York Aquarium,1896,United States,exploration,exploration_gap2
Q8187791,Aquário Vasco da Gama,1898,Portugal,exploration,exploration_gap2
Q49485672,Edenton National Fish Hatchery,1900,United States,exploration,exploration_gap2
Q11915963,Cova del Penitent,1901,Spain,exploration,exploration_gap2
