id,label,year,country,tag,source_file
Q2890828,Battle of Val-de-Saire,1001,France,war,WarsRecord.csv
Q2890236,Battle of Torà,1006,Spain,war,WarsRecord.csv
Q3104848,Fitna of al-Andalus,1009,Caliphate of Córdoba,revolution,Coups.csv
Q2888155,Battle of Bitola,1015,North Macedonia,war,WarsRecord.csv
Q116251022,assassination of Prince Boris of Rostov,1015,Kievan Rus',culture,Disasters.csv
Q130530282,assassination of Prince Gleb of Murom,1015,Kievan Rus',culture,Disasters.csv
Q2637246,Battle of Sasireti,1042,Kingdom of Georgia,war,WarsRecord.csv
Q2628015,Battle of Kapetron,1048,Turkey,war,WarsRecord.csv
Q2855373,Battle of Petroe,1057,Byzantine Empire,war,WarsRecord.csv
Q124428025,Civil War in Poland,1077,Kingdom of Poland,revolution,Coups.csv
Q2888888,Battle of Kalavrye,1078,Turkey,war,WarsRecord.csv
Q2781949,Battle of Mynydd Carn,1081,Wales,war,WarsRecord.csv
Q2878470,Battle of Morella,1084,Spain,war,WarsRecord.csv
Q3195891,Battle of Alnwick,1093,Kingdom of England,war,WarsRecord.csv
Q16675405,Kievan Rus' Civil War of 1094–1097,1094,Kievan Rus',revolution,Coups.csv
Q2724181,Battle of Alcoraz,1096,Spain,war,WarsRecord.csv
Q2888093,Battle of Bairén,1097,Spain,war,WarsRecord.csv
Q2888347,Battle of Consuegra,1097,Spain,war,WarsRecord.csv
Q16675407,Kievan Rus' Civil War of 1097–1100,1097,Kievan Rus',revolution,Coups.csv
Q334099,Orval Abbey,1101,Belgium,empire,Treaties.csv
Q23491101,assassination of Minamoto no Yoshitada,1109,,culture,Disasters.csv
Q2890297,Battle of Valtierra,1110,Spain,war,WarsRecord.csv
Q2890239,Battle of Toury,1112,France,war,WarsRecord.csv
Q2549350,Battle of Philomelion,1116,Sultanate of Rum,war,WarsRecord.csv
Q2630913,Battle of Cutanda,1120,Spain,war,WarsRecord.csv
Q2733432,Battle of São Mamede,1128,Portugal,war,WarsRecord.csv
Q106839672,Danish Civil Wars,1131,Denmark,revolution,Coups.csv
Q2888317,Battle of Clitheroe,1138,Kingdom of England,war,WarsRecord.csv
Q4288100,Civil War in Rus' of 1146-1154,1146,Rus,revolution,Coups.csv
Q51930478,Jerusalemite Civil War,1152,Kingdom of Jerusalem,revolution,Coups.csv
Q842357,Hōgen rebellion,1156,Japan,revolution,Coups.csv
Q4574512,Bloodfeast of Roskilde,1157,,culture,Disasters.csv
Q2888248,Battle of Cassano,1158,Italy,war,WarsRecord.csv
Q4288101,Civil War in Rus' of 1158-1161,1158,Kievan Rus',revolution,Coups.csv
Q944859,Heiji rebellion,1160,Japan,revolution,Coups.csv
Q4288096,"Internecine War in North-Eastern Rus', 1174-1177",1174,North-Eastern Rus',revolution,Coups.csv
Q2888010,Battle of Ishibashiyama,1180,Japan,war,WarsRecord.csv
Q737542,Genpei War,1180,Japan,revolution,Coups.csv
Q2890114,Battle of Sunomata-gawa,1181,Japan,war,WarsRecord.csv
Q2890415,Battle of Yahagi-gawa,1181,Japan,war,WarsRecord.csv
Q2889511,Battle of Nicomédie,1182,Byzantine Empire,war,WarsRecord.csv
Q2889980,Battle of Shinohara,1183,Japan,war,WarsRecord.csv
Q2889028,Battle of Kurikara,1183,Japan,war,WarsRecord.csv
Q2889433,Battle of Muroyama,1184,Japan,war,WarsRecord.csv
Q2888057,Battle of Uji,1184,Japan,war,WarsRecord.csv
Q2888964,Battle of Kojima,1185,Japan,war,WarsRecord.csv
Q2888959,Battle of Koromo River,1189,Japan,war,WarsRecord.csv
Q2888503,Battle of Florvåg,1194,Norway,war,WarsRecord.csv
Q19692559,Civil War in Rus of 1195-1196,1195,Kievan Rus',revolution,Coups.csv
Q913972,Order of Friars Minor,1201,Turkey,empire,Treaties.csv
Q692799,Conventual Franciscans,1201,Ireland,empire,Treaties.csv
Q450139,University Hospital Zurich,1201,Switzerland,empire,Treaties.csv
Q2920414,Battle of Basian,1202,Kingdom of Georgia,war,WarsRecord.csv
Q2669581,Loon War,1203,Netherlands,war,WarsRecord.csv
Q165005,Franciscans,1209,Italy,empire,Treaties.csv
Q2750179,Siege of Castelnòu d'Arri,1211,France,war,WarsRecord.csv
Q4288098,"Internecine War in North-Eastern Rus', 1212-1216",1212,North-Eastern Rus',revolution,Coups.csv
Q2890062,Battle of Steppes,1213,Belgium,war,WarsRecord.csv
Q2086498,First Barons' War,1215,Kingdom of England,revolution,Coups.csv
Q131479,Dominican Order,1215,Italy,empire,Treaties.csv
Q2692278,Battle of Lihula,1220,Estonia,war,WarsRecord.csv
Q1372308,Jōkyū War,1221,Japan,revolution,Coups.csv
Q2563577,Battle of Samara Bend,1223,Volga Bulgaria,war,WarsRecord.csv
Q2916261,Battle of Garni,1225,Armenia,war,WarsRecord.csv
Q28667604,Internecine War in the Principality of Chernihiv,1226,Principality of Chernigov,revolution,Coups.csv
Q2570116,Drenther Crusade,1228,Netherlands,war,WarsRecord.csv
Q2792009,Battle of Portopí,1229,Spain,war,WarsRecord.csv
Q2887845,Battle of Anbuk-bu,1231,Goryeo,war,WarsRecord.csv
Q2888869,Battle of Jerez,1231,Spain,war,WarsRecord.csv
Q2890815,Battle of the Puig,1237,Taifa of Valencia (third period),war,WarsRecord.csv
Q2724154,Battle of Adrianople,1254,Bulgaria,war,WarsRecord.csv
Q16871984,Toluid Civil War,1260,Mongol Empire,revolution,Coups.csv
Q2799746,Battle of Hausbergen,1262,France,war,WarsRecord.csv
Q2889962,Battle of Settepozzi,1263,Greece,war,WarsRecord.csv
Q108582422,Hungarian Civil War,1264,Kingdom of Hungary (1000–1301),revolution,Coups.csv
Q2571558,Battle of Mari,1266,Armenian Kingdom of Cilicia,war,WarsRecord.csv
Q426430,Mesta,1273,Spain,empire,Treaties.csv
Q2628082,Battle of Elbistan,1277,Turkey,war,WarsRecord.csv
Q2527770,Battle of Devina,1279,Bulgaria,war,WarsRecord.csv
Q4288099,Civil War in Northeast Russia from 1281 to 1293,1281,North-Eastern Rus',revolution,Coups.csv
Q2888241,Battle of Campaldino,1289,Italy,war,WarsRecord.csv
Q368643,University of Coimbra,1290,Portugal,empire,Treaties.csv
Q123171353,Castilian Civil War,1296,Crown of Castile,revolution,Coups.csv
Q209344,Sapienza University of Rome,1303,Italy,empire,Treaties.csv
Q402237,Battle of Zappolino,1325,Italy,war,WarsRecord.csv
Q1432624,Genkō War,1331,Japan,revolution,Coups.csv
Q826021,Kenmu Restoration,1333,Japan,empire,Treaties.csv
Q114620,Battle of Minatogawa,1336,Japan,war,WarsRecord.csv
Q153712,Battle of Parabiago,1339,Italy,war,WarsRecord.csv
Q667606,Battle of Laupen,1339,Switzerland,war,WarsRecord.csv
Q616448,Battle of Champtoceaux,1341,France,war,WarsRecord.csv
Q2658255,Byzantine Civil War of 1341–1347,1341,Byzantine Empire,revolution,Coups.csv
Q645663,University of Pisa,1343,Italy,empire,Treaties.csv
Q611827,Battle of Blanchetaque,1346,France,war,WarsRecord.csv
Q11924838,War of the Union,1347,Crown of Aragon,revolution,Coups.csv
Q31519,Charles University,1348,Czech Republic,empire,Treaties.csv
Q6364172,Kannō disturbance,1350,Japan,revolution,Coups.csv
